开始 10000 代进化 (K=2)...
Generation 7750 | Avg Best Fitness (K=2): -163379400.00 | Avg Violations: 49.50
Generation 7800 | Avg Best Fitness (K=2): -163280600.00 | Avg Violations: 49.50
Generation 7850 | Avg Best Fitness (K=2): -163230600.00 | Avg Violations: 49.50
Generation 7900 | Avg Best Fitness (K=2): -163130200.00 | Avg Violations: 49.50
Generation 7950 | Avg Best Fitness (K=2): -163070200.00 | Avg Violations: 49.50
Generation 8000 | Avg Best Fitness (K=2): -162980600.00 | Avg Violations: 49.50
Generation 8050 | Avg Best Fitness (K=2): -162730600.00 | Avg Violations: 49.00
Generation 8100 | Avg Best Fitness (K=2): -162480600.00 | Avg Violations: 48.50
Generation 8150 | Avg Best Fitness (K=2): -162321000.00 | Avg Violations: 48.50
Generation 8200 | Avg Best Fitness (K=2): -161851400.00 | Avg Violations: 47.50
Generation 8250 | Avg Best Fitness (K=2): -161841800.00 | Avg Violations: 47.50
Generation 8300 | Avg Best Fitness (K=2): -161811000.00 | Avg Violations: 47.50
Generation 8350 | Avg Best Fitness (K=2): -161751400.00 | Avg Violations: 47.50
Generation 8400 | Avg Best Fitness (K=2): -161688600.00 | Avg Violations: 47.50
Generation 8450 | Avg Best Fitness (K=2): -161658200.00 | Avg Violations: 47.50
Generation 8500 | Avg Best Fitness (K=2): -161638600.00 | Avg Violations: 47.50
Generation 8550 | Avg Best Fitness (K=2): -161608600.00 | Avg Violations: 47.50
Generation 8600 | Avg Best Fitness (K=2): -161597800.00 | Avg Violations: 47.50
Generation 8650 | Avg Best Fitness (K=2): -161527800.00 | Avg Violations: 47.50
Generation 8700 | Avg Best Fitness (K=2): -161507800.00 | Avg Violations: 47.50
Generation 8750 | Avg Best Fitness (K=2): -161437800.00 | Avg Violations: 47.50
Generation 8800 | Avg Best Fitness (K=2): -161367800.00 | Avg Violations: 47.50
Generation 8850 | Avg Best Fitness (K=2): -161187000.00 | Avg Violations: 47.00
Generation 8900 | Avg Best Fitness (K=2): -161137000.00 | Avg Violations: 47.00
Generation 8950 | Avg Best Fitness (K=2): -161116200.00 | Avg Violations: 47.00
Generation 9000 | Avg Best Fitness (K=2): -161056200.00 | Avg Violations: 47.00
Generation 9050 | Avg Best Fitness (K=2): -161046200.00 | Avg Violations: 47.00
Generation 9100 | Avg Best Fitness (K=2): -161016200.00 | Avg Violations: 47.00
Generation 9150 | Avg Best Fitness (K=2): -160986200.00 | Avg Violations: 47.00
Generation 9200 | Avg Best Fitness (K=2): -160945000.00 | Avg Violations: 47.00
Generation 9250 | Avg Best Fitness (K=2): -160935000.00 | Avg Violations: 47.00
Generation 9300 | Avg Best Fitness (K=2): -160924600.00 | Avg Violations: 47.00
Generation 9350 | Avg Best Fitness (K=2): -160895000.00 | Avg Violations: 47.00
Generation 9400 | Avg Best Fitness (K=2): -160875000.00 | Avg Violations: 47.00
Generation 9450 | Avg Best Fitness (K=2): -160865000.00 | Avg Violations: 47.00
Generation 9500 | Avg Best Fitness (K=2): -160834600.00 | Avg Violations: 47.00
Generation 9550 | Avg Best Fitness (K=2): -160744200.00 | Avg Violations: 47.00
Generation 9600 | Avg Best Fitness (K=2): -160724600.00 | Avg Violations: 47.00
Generation 9650 | Avg Best Fitness (K=2): -160685000.00 | Avg Violations: 47.00
Generation 9700 | Avg Best Fitness (K=2): -160665000.00 | Avg Violations: 47.00
Generation 9750 | Avg Best Fitness (K=2): -160655400.00 | Avg Violations: 47.00
Generation 9800 | Avg Best Fitness (K=2): -160415000.00 | Avg Violations: 46.50
Generation 9850 | Avg Best Fitness (K=2): -160395000.00 | Avg Violations: 46.50
Generation 9900 | Avg Best Fitness (K=2): -160305800.00 | Avg Violations: 46.50
Generation 9950 | Avg Best Fitness (K=2): -160265000.00 | Avg Violations: 46.50
Generation 10000 | Avg Best Fitness (K=2): -160165800.00 | Avg Violations: 46.50
进化完成。正在提取 K 个最佳个体...

✓ 进化完成 (K=2)，总耗时: 1177.95s
  平均每代耗时: 0.1178 s/gen
  (总计 20000 个 'run-generations')

===== 正在导出 2 个最佳排程 =====
  Run 0: Best Fitness: -160260800.00
    ✓ 已导出至 output_schedules/final_schedule_RUN0_20251218_205834_fit_-160260800.xlsx
  Run 1: Best Fitness: -160070800.00
    ✓ 已导出至 output_schedules/final_schedule_RUN1_20251218_205834_fit_-160070800.xlsx

===== 最终统计 (K={NUM_PARALLEL_RUNS}) =====
  最佳适应度 (均值): -160165800.00
  最佳适应度 (标准差): 95000.00
  最佳适应度 (范围): -160260800.00 ... -160070800.00
